product_id,product_name,brand_name,category,product_type,quantity
P000001,Classic Shorts Set,Mini Klub,Boys,Kurta & Pajama Set,1 set
P000002,Comfort Kurta Set,Roadster,Men,Shirt & Pant Set,1 set
P000003,Sweatshirt - Floral Edition,Babyhug,Boys,Casual Set,Single (1 piece)
P000004,Jeans - Casual Edition,Arrow,Men,Trackpant & Hoodie Set,Single (1 piece)
P000005,Stylish Dress,Forever 21,Women,Saree & Blouse Set,Pack of 2
P000006,Kurti - Striped Edition,W,Women,Salwar & Kameez Set,2-piece set
P000007,Checked Trackpant 7,Cherokee,Boys,Shirt & Shorts Set,2-piece set
P000008,Striped Jacket,U.S. Polo Assn Kids,Boys,T-shirt & Shorts,3-piece set
P000009,Gymboree Chic Jumpsuit,Gymboree,Kids,Playwear Set,1 set
P000010,Chic Dress Set,Myntra Essentials,Women,T-shirt & Jeans,Single (1 piece)
P000011,Premium Jacket Set,Babyhug,Boys,Casual Set,1 set
P000012,Shorts - Casual Edition,Tommy Hilfiger,Men,Shirt & Pant Set,1 set
P000013,Saree - Stylish Edition,Myntra Essentials,Women,Jumpsuit,Single (1 piece)
P000014,Comfort Anarkali Set,Vero Moda,Women,Dress,1 set
P000015,FabIndia Premium Jumpsuit,FabIndia,Women,Two-piece Set,Single (1 piece)
P000016,Striped Romper,Babyhug,Kids,Onesie,2-piece set
P000017,Premium Jacket Set,Levi's,Men,Formal Shirt,2-piece set
P000018,Checked Romper,H&M Kids,Kids,Casual Set,Pack of 3
P000019,Stylish Dress 19,Batil,Girls,T-shirt & Shorts,Single (1 piece)
P000020,Denim Skirt Set,Vero Moda,Women,Kurti & Leggings Set,Pack of 2
P000021,Trendy Sweatshirt Set,Batil,Girls,Top & Skirt Set,Single (1 piece)
P000022,Striped Hoodie,Tommy Hilfiger,Men,Kurta & Pyjama Set,2-piece set
P000023,YK Stylish Jacket,YK,Boys,T-shirt & Shorts,1 set
P000024,Sporty T-shirt Set,Arrow,Men,T-shirt & Jeans,1 set
P000025,Classic Kurti Set,Babyhug,Girls,Party Dress Set,Pack of 2
P000026,Striped Shorts 26,Gini & Jony,Kids,Jumpsuit,Pack of 2
P000027,W Sporty Dress,W,Women,Dresses,Single (1 piece)
P000028,Tommy Hilfiger Comfort Polo,Tommy Hilfiger,Men,Shirt & Pant Set,2-piece set
P000029,Casual Shorts,Zara,Men,Suit (Jacket & Trouser),1 set
P000030,Classic Trackpant Set,Mothercare,Boys,T-shirt & Jeans,1 set
P000031,Elegant Blouse 31,Vero Moda,Women,Two-piece Set,1 set
P000032,Chic Dress,Vero Moda,Women,Kurti & Leggings Set,3-piece set
P000033,Anarkali - Comfort Edition,W,Women,Top & Skirt Set,1 set
P000034,T-shirt - Checked Edition,Levi's,Men,Trackpant & Hoodie Set,2-piece set
P000035,Vintage Romper,H&M Kids,Kids,T-shirt & Shorts,1 set
P000036,Shorts - Sporty Edition,Mothercare,Kids,Pajama Set,1 set
P000037,Pajama - Premium Edition,Babyhug,Kids,Playwear Set,1 set
P000038,Trendy Saree,AND,Women,Dresses,1 set
P000039,Casual T-shirt Set,Babyhug,Boys,T-shirt & Shorts,Single (1 piece)
P000040,AND Vintage Dress,AND,Women,Dress,1 set
P000041,H&M Denim Polo,H&M,Men,Suit (Jacket & Trouser),1 set
P000042,Chic Trackpant Set,Mini Klub,Boys,Hoodie Set,1 set
P000043,Stylish Jeans 43,Mothercare,Boys,Casual Set,3-piece set
P000044,Striped Dress,Biba,Women,Dresses,1 set
P000045,Comfort Anarkali 45,FabIndia,Women,Top & Skirt Set,1 set
P000046,Tommy Hilfiger Stylish Suit,Tommy Hilfiger,Men,T-shirt & Jeans,Single (1 piece)
P000047,Striped Anarkali,AND,Women,T-shirt & Jeans,2-piece set
P000048,Elegant Top 48,Batil,Girls,T-shirt & Shorts,Pack of 2
P000049,H&M Trendy Polo,H&M,Men,Jeans,1 set
P000050,Trendy Frock,Minnie,Girls,T-shirt & Shorts,2-piece set
P000051,Striped Shirt 51,Mothercare,Boys,T-shirt & Shorts,1 set
P000052,Vintage Shirt,Peter England,Men,Jeans,Single (1 piece)
P000053,Stylish Polo Set,Levi's,Men,Jeans,1 set
P000054,Denim Shirt 54,Levi's,Men,Shirt & Pant Set,1 set
P000055,Vintage Jacket Set,Allen Solly,Men,T-shirt & Jeans,1 set
P000056,Top - Striped Edition,Minnie,Girls,Kurti & Leggings,Pack of 3
P000057,Checked Kurta 57,Tommy Hilfiger,Men,Formal Shirt,Single (1 piece)
P000058,H&M Checked Trackpant,H&M,Men,Formal Shirt,Single (1 piece)
P000059,Peter England Striped Kurta,Peter England,Men,Casual Shirt,1 set
P000060,Checked T-shirt 60,Allen Solly,Men,Formal Shirt,1 set
P000061,Checked Anarkali 61,AND,Women,Two-piece Set,3-piece set
P000062,Trendy Romper,Gymboree,Kids,Casual Set,1 set
P000063,Shorts - Vintage Edition,Wow Kids,Boys,Jacket & Trousers,1 set
P000064,Premium Romper Set,Mothercare,Kids,Casual Set,1 set
P000065,Elegant Jumpsuit Set,H&M Kids,Kids,Jumpsuit,1 set
P000066,Chic Blouse 66,H&M,Women,T-shirt & Jeans,2-piece set
P000067,Biba Premium Blouse,Biba,Women,Skirt & Top,1 set
P000068,Casual Jacket 68,Mothercare,Boys,Pyjama Set,2-piece set
P000069,Trackpant - Sporty Edition,Arrow,Men,Shorts,3-piece set
P000070,Striped Top,Batil,Girls,Party Dress Set,Single (1 piece)
P000071,Striped Saree 71,FabIndia,Women,Salwar & Kameez Set,1 set
P000072,Comfort Trackpant Set,Allen Solly,Men,Kurta & Pyjama Set,1 set
P000073,Gymboree Chic Casual Set,Gymboree,Kids,Party Wear Set,1 set
P000074,Classic Frock,Wow Kids,Girls,Party Dress Set,1 set
P000075,Sweatshirt - Floral Edition,Minnie,Girls,Kurti & Leggings,Single (1 piece)
P000076,Striped Trackpant Set,Allen Solly,Men,T-shirt & Jeans,2-piece set
P000077,Denim Playwear Set,Zara Kids,Kids,Winter Set (Jacket & Bottom),Pack of 2
P000078,H&M Kids Vintage Playwear,H&M Kids,Kids,Playwear Set,Single (1 piece)
P000079,Comfort Kurti Set,YK,Girls,Party Dress Set,1 set
P000080,Myntra Essentials Floral Skirt,Myntra Essentials,Women,T-shirt & Jeans,1 set
P000081,Saree - Classic Edition,W,Women,Skirt & Top,1 set
P000082,Sweatshirt - Stylish Edition,Minnie,Girls,Top & Skirt Set,1 set
P000083,Striped Gown,Myntra Essentials,Women,Two-piece Set,1 set
P000084,Pajama - Stylish Edition,Zara Kids,Kids,Playwear Set,2-piece set
P000085,Gini & Jony Vintage Casual Set,Gini & Jony,Kids,Onesie,Single (1 piece)
P000086,Jumpsuit - Premium Edition,Biba,Women,Two-piece Set,2-piece set
P000087,Frock - Vintage Edition,YK,Girls,Kurti & Leggings,Pack of 3
P000088,Mini Klub Classic Polo,Mini Klub,Boys,Shirt & Shorts Set,2-piece set
P000089,Shorts - Stylish Edition,Roadster,Men,Casual Shirt,1 set
P000090,Sporty Kurti Set,Global Desi,Women,T-shirt & Jeans,Single (1 piece)
P000091,Striped Shirt,Tommy Hilfiger,Men,Suit (Jacket & Trouser),3-piece set
P000092,T-shirt - Comfort Edition,Mothercare,Kids,Romper Set,2-piece set
P000093,Peppermint Trendy Jumpsuit,Peppermint,Girls,Dress Set,2-piece set
P000094,Elegant Trackpant,U.S. Polo Assn Kids,Boys,Sweatshirt & Trackpant,Pack of 3
P000095,Floral Shorts,Zara Kids,Kids,Playwear Set,1 set
P000096,Trendy Trackpant,Lilliput,Boys,Shirt & Shorts Set,3-piece set
P000097,Premium Jumpsuit,Peppermint,Girls,Frock Set,1 set
P000098,Checked Polo,Wow Kids,Boys,T-shirt & Shorts,Single (1 piece)
P000099,Premium Top Set,W,Women,Dresses,Single (1 piece)
P000100,Playwear - Vintage Edition,Cherokee,Kids,Two-piece Set,Single (1 piece)
P000101,Comfort Dress 1,FabIndia,Women,T-shirt & Jeans,1 set
P000102,Chic Set 2,Mothercare,Kids,Party Wear Set,2-piece set
P000103,Stylish Suit 3,Tommy Hilfiger,Men,Kurta & Pyjama Set,2-piece set
P000104,Vintage Saree,FabIndia,Women,T-shirt & Jeans,2-piece set
P000105,Trackpant - Comfort Edition,Roadster,Men,T-shirt,2-piece set
P000106,Premium Saree 6,Zara,Women,Top & Skirt Set,1 set
P000107,Stylish T-shirt Set,Cherokee,Girls,Party Dress Set,2-piece set
P000108,Vero Moda Comfort Dress,Vero Moda,Women,T-shirt & Jeans,1 set
P000109,Floral Tunics 9,AND,Women,Dress,1 set
P000110,Elegant Skirt 10,Batil,Girls,Sweatshirt & Trackpant,1 set
P000111,Vintage Jeans 11,Levi's,Men,Trackpant & Hoodie Set,1 set
P000112,Classic Trackpant,Zara,Men,Jeans,1 set
P000113,Zara Kids Sporty Jumpsuit,Zara Kids,Kids,Casual Set,2-piece set
P000114,Set - Elegant Edition,Cherokee,Kids,Party Wear Set,1 set
P000115,Formal Suit,Zara,Men,Kurta & Pyjama Set,1 set
P000116,Formal Casual Set Set,Gymboree,Kids,Onesie,Single (1 piece)
P000117,Sporty Suit Set,Jack & Jones,Men,Formal Shirt,2-piece set
P000118,Cherokee Formal Onesie,Cherokee,Kids,Two-piece Set,2-piece set
P000119,Classic Sweatshirt,Mothercare,Boys,Shirt & Shorts Set,1 set
P000120,Sporty Suit,Roadster,Men,T-shirt,3-piece set
P000121,Comfort Suit Set,United Colors,Men,T-shirt,1 set
P000122,Comfort Top 22,Minnie,Girls,Salwar Set,1 set
P000123,Trendy Casual Set Set,Gymboree,Kids,Romper Set,1 set
P000124,Trendy Set 24,YK,Kids,T-shirt & Shorts,2-piece set
P000125,Casual Hoodie 25,YK,Boys,T-shirt & Jeans,1 set
P000126,Chic Trackpant Set,Mini Klub,Boys,Shirt & Shorts Set,1 set
