product_id,product_name,brand_name,category,product_type,quantity,price
P000001,Classic Shorts Set,Mini Klub,Boys,Kurta & Pajama Set,1 set,760.0
P000002,Comfort Kurta Set,Roadster,Men,Shirt & Pant Set,1 set,1416.0
P000003,Sweatshirt - Floral Edition,Babyhug,Boys,Casual Set,Single (1 piece),656.0
P000004,Jeans - Casual Edition,Arrow,Men,Trackpant & Hoodie Set,Single (1 piece),1559.0
P000005,Stylish Dress,Forever 21,Women,Saree & Blouse Set,Pack of 2,3450.0
P000006,Kurti - Striped Edition,W,Women,Salwar & Kameez Set,2-piece set,862.0
P000007,Checked Trackpant 7,Cherokee,Boys,Shirt & Shorts Set,2-piece set,823.0
P000008,Striped Jacket,U.S. Polo Assn Kids,Boys,T-shirt & Shorts,3-piece set,1146.0
P000009,Gymboree Chic Jumpsuit,Gymboree,Kids,Playwear Set,1 set,1040.0
P000010,Chic Dress Set,Myntra Essentials,Women,T-shirt & Jeans,Single (1 piece),1083.0
P000011,Premium Jacket Set,Babyhug,Boys,Casual Set,1 set,485.0
P000012,Shorts - Casual Edition,Tommy Hilfiger,Men,Shirt & Pant Set,1 set,1188.0
P000013,Saree - Stylish Edition,Myntra Essentials,Women,Jumpsuit,Single (1 piece),1133.0
P000014,Comfort Anarkali Set,Vero Moda,Women,Dress,1 set,885.0
P000015,FabIndia Premium Jumpsuit,FabIndia,Women,Two-piece Set,Single (1 piece),873.0
P000016,Striped Romper,Babyhug,Kids,Onesie,2-piece set,524.0
P000017,Premium Jacket Set,Levi's,Men,Formal Shirt,2-piece set,922.0
P000018,Checked Romper,H&M Kids,Kids,Casual Set,Pack of 3,3030.0
P000019,Stylish Dress 19,Batil,Girls,T-shirt & Shorts,Single (1 piece),973.0
P000020,Denim Skirt Set,Vero Moda,Women,Kurti & Leggings Set,Pack of 2,1833.0
P000021,Trendy Sweatshirt Set,Batil,Girls,Top & Skirt Set,Single (1 piece),1045.0
P000022,Striped Hoodie,Tommy Hilfiger,Men,Kurta & Pyjama Set,2-piece set,856.0
P000023,YK Stylish Jacket,YK,Boys,T-shirt & Shorts,1 set,917.0
P000024,Sporty T-shirt Set,Arrow,Men,T-shirt & Jeans,1 set,1420.0
P000025,Classic Kurti Set,Babyhug,Girls,Party Dress Set,Pack of 2,1179.0
P000026,Striped Shorts 26,Gini & Jony,Kids,Jumpsuit,Pack of 2,2228.0
P000027,W Sporty Dress,W,Women,Dresses,Single (1 piece),880.0
P000028,Tommy Hilfiger Comfort Polo,Tommy Hilfiger,Men,Shirt & Pant Set,2-piece set,1006.0
P000029,Casual Shorts,Zara,Men,Suit (Jacket & Trouser),1 set,3111.0
P000030,Classic Trackpant Set,Mothercare,Boys,T-shirt & Jeans,1 set,819.0
P000031,Elegant Blouse 31,Vero Moda,Women,Two-piece Set,1 set,1043.0
P000032,Chic Dress,Vero Moda,Women,Kurti & Leggings Set,3-piece set,868.0
P000033,Anarkali - Comfort Edition,W,Women,Top & Skirt Set,1 set,826.0
P000034,T-shirt - Checked Edition,Levi's,Men,Trackpant & Hoodie Set,2-piece set,1180.0
P000035,Vintage Romper,H&M Kids,Kids,T-shirt & Shorts,1 set,1186.0
P000036,Shorts - Sporty Edition,Mothercare,Kids,Pajama Set,1 set,1123.0
P000037,Pajama - Premium Edition,Babyhug,Kids,Playwear Set,1 set,553.0
P000038,Trendy Saree,AND,Women,Dresses,1 set,839.0
P000039,Casual T-shirt Set,Babyhug,Boys,T-shirt & Shorts,Single (1 piece),644.0
P000040,AND Vintage Dress,AND,Women,Dress,1 set,976.0
P000041,H&M Denim Polo,H&M,Men,Suit (Jacket & Trouser),1 set,2122.0
P000042,Chic Trackpant Set,Mini Klub,Boys,Hoodie Set,1 set,798.0
P000043,Stylish Jeans 43,Mothercare,Boys,Casual Set,3-piece set,814.0
P000044,Striped Dress,Biba,Women,Dresses,1 set,1164.0
P000045,Comfort Anarkali 45,FabIndia,Women,Top & Skirt Set,1 set,904.0
P000046,Tommy Hilfiger Stylish Suit,Tommy Hilfiger,Men,T-shirt & Jeans,Single (1 piece),1065.0
P000047,Striped Anarkali,AND,Women,T-shirt & Jeans,2-piece set,925.0
P000048,Elegant Top 48,Batil,Girls,T-shirt & Shorts,Pack of 2,2016.0
P000049,H&M Trendy Polo,H&M,Men,Jeans,1 set,2547.0
P000050,Trendy Frock,Minnie,Girls,T-shirt & Shorts,2-piece set,874.0
P000051,Striped Shirt 51,Mothercare,Boys,T-shirt & Shorts,1 set,1188.0
P000052,Vintage Shirt,Peter England,Men,Jeans,Single (1 piece),1110.0
P000053,Stylish Polo Set,Levi's,Men,Jeans,1 set,1176.0
P000054,Denim Shirt 54,Levi's,Men,Shirt & Pant Set,1 set,1158.0
P000055,Vintage Jacket Set,Allen Solly,Men,T-shirt & Jeans,1 set,1039.0
P000056,Top - Striped Edition,Minnie,Girls,Kurti & Leggings,Pack of 3,3506.0
P000057,Checked Kurta 57,Tommy Hilfiger,Men,Formal Shirt,Single (1 piece),835.0
P000058,H&M Checked Trackpant,H&M,Men,Formal Shirt,Single (1 piece),2196.0
P000059,Peter England Striped Kurta,Peter England,Men,Casual Shirt,1 set,818.0
P000060,Checked T-shirt 60,Allen Solly,Men,Formal Shirt,1 set,930.0
P000061,Checked Anarkali 61,AND,Women,Two-piece Set,3-piece set,955.0
P000062,Trendy Romper,Gymboree,Kids,Casual Set,1 set,909.0
P000063,Shorts - Vintage Edition,Wow Kids,Boys,Jacket & Trousers,1 set,1131.0
P000064,Premium Romper Set,Mothercare,Kids,Casual Set,1 set,943.0
P000065,Elegant Jumpsuit Set,H&M Kids,Kids,Jumpsuit,1 set,912.0
P000066,Chic Blouse 66,H&M,Women,T-shirt & Jeans,2-piece set,2543.0
P000067,Biba Premium Blouse,Biba,Women,Skirt & Top,1 set,856.0
P000068,Casual Jacket 68,Mothercare,Boys,Pyjama Set,2-piece set,1121.0
P000069,Trackpant - Sporty Edition,Arrow,Men,Shorts,3-piece set,1245.0
P000070,Striped Top,Batil,Girls,Party Dress Set,Single (1 piece),1195.0
P000071,Striped Saree 71,FabIndia,Women,Salwar & Kameez Set,1 set,1109.0
P000072,Comfort Trackpant Set,Allen Solly,Men,Kurta & Pyjama Set,1 set,879.0
P000073,Gymboree Chic Casual Set,Gymboree,Kids,Party Wear Set,1 set,802.0
P000074,Classic Frock,Wow Kids,Girls,Party Dress Set,1 set,1126.0
P000075,Sweatshirt - Floral Edition,Minnie,Girls,Kurti & Leggings,Single (1 piece),1083.0
P000076,Striped Trackpant Set,Allen Solly,Men,T-shirt & Jeans,2-piece set,1092.0
P000077,Denim Playwear Set,Zara Kids,Kids,Winter Set (Jacket & Bottom),Pack of 2,2217.0
P000078,H&M Kids Vintage Playwear,H&M Kids,Kids,Playwear Set,Single (1 piece),830.0
P000079,Comfort Kurti Set,YK,Girls,Party Dress Set,1 set,943.0
P000080,Myntra Essentials Floral Skirt,Myntra Essentials,Women,T-shirt & Jeans,1 set,846.0
P000081,Saree - Classic Edition,W,Women,Skirt & Top,1 set,1145.0
P000082,Sweatshirt - Stylish Edition,Minnie,Girls,Top & Skirt Set,1 set,1049.0
P000083,Striped Gown,Myntra Essentials,Women,Two-piece Set,1 set,932.0
P000084,Pajama - Stylish Edition,Zara Kids,Kids,Playwear Set,2-piece set,825.0
P000085,Gini & Jony Vintage Casual Set,Gini & Jony,Kids,Onesie,Single (1 piece),924.0
P000086,Jumpsuit - Premium Edition,Biba,Women,Two-piece Set,2-piece set,930.0
P000087,Frock - Vintage Edition,YK,Girls,Kurti & Leggings,Pack of 3,3276.0
P000088,Mini Klub Classic Polo,Mini Klub,Boys,Shirt & Shorts Set,2-piece set,844.0
P000089,Shorts - Stylish Edition,Roadster,Men,Casual Shirt,1 set,1386.0
P000090,Sporty Kurti Set,Global Desi,Women,T-shirt & Jeans,Single (1 piece),989.0
P000091,Striped Shirt,Tommy Hilfiger,Men,Suit (Jacket & Trouser),3-piece set,848.0
P000092,T-shirt - Comfort Edition,Mothercare,Kids,Romper Set,2-piece set,1085.0
P000093,Peppermint Trendy Jumpsuit,Peppermint,Girls,Dress Set,2-piece set,1104.0
P000094,Elegant Trackpant,U.S. Polo Assn Kids,Boys,Sweatshirt & Trackpant,Pack of 3,3074.0
P000095,Floral Shorts,Zara Kids,Kids,Playwear Set,1 set,1108.0
P000096,Trendy Trackpant,Lilliput,Boys,Shirt & Shorts Set,3-piece set,998.0
P000097,Premium Jumpsuit,Peppermint,Girls,Frock Set,1 set,1009.0
P000098,Checked Polo,Wow Kids,Boys,T-shirt & Shorts,Single (1 piece),971.0
P000099,Premium Top Set,W,Women,Dresses,Single (1 piece),810.0
P000100,Playwear - Vintage Edition,Cherokee,Kids,Two-piece Set,Single (1 piece),843.0
P000101,Comfort Dress 1,FabIndia,Women,T-shirt & Jeans,1 set,813.0
P000102,Chic Set 2,Mothercare,Kids,Party Wear Set,2-piece set,1055.0
P000103,Stylish Suit 3,Tommy Hilfiger,Men,Kurta & Pyjama Set,2-piece set,926.0
P000104,Vintage Saree,FabIndia,Women,T-shirt & Jeans,2-piece set,1003.0
P000105,Trackpant - Comfort Edition,Roadster,Men,T-shirt,2-piece set,1396.0
P000106,Premium Saree 6,Zara,Women,Top & Skirt Set,1 set,2699.0
P000107,Stylish T-shirt Set,Cherokee,Girls,Party Dress Set,2-piece set,964.0
P000108,Vero Moda Comfort Dress,Vero Moda,Women,T-shirt & Jeans,1 set,1102.0
P000109,Floral Tunics 9,AND,Women,Dress,1 set,892.0
P000110,Elegant Skirt 10,Batil,Girls,Sweatshirt & Trackpant,1 set,831.0
P000111,Vintage Jeans 11,Levi's,Men,Trackpant & Hoodie Set,1 set,916.0
P000112,Classic Trackpant,Zara,Men,Jeans,1 set,2593.0
P000113,Zara Kids Sporty Jumpsuit,Zara Kids,Kids,Casual Set,2-piece set,1172.0
P000114,Set - Elegant Edition,Cherokee,Kids,Party Wear Set,1 set,1123.0
P000115,Formal Suit,Zara,Men,Kurta & Pyjama Set,1 set,3160.0
P000116,Formal Casual Set Set,Gymboree,Kids,Onesie,Single (1 piece),1149.0
P000117,Sporty Suit Set,Jack & Jones,Men,Formal Shirt,2-piece set,1121.0
P000118,Cherokee Formal Onesie,Cherokee,Kids,Two-piece Set,2-piece set,875.0
P000119,Classic Sweatshirt,Mothercare,Boys,Shirt & Shorts Set,1 set,1157.0
P000120,Sporty Suit,Roadster,Men,T-shirt,3-piece set,1219.0
P000121,Comfort Suit Set,United Colors,Men,T-shirt,1 set,1123.0
P000122,Comfort Top 22,Minnie,Girls,Salwar Set,1 set,1158.0
P000123,Trendy Casual Set Set,Gymboree,Kids,Romper Set,1 set,927.0
P000124,Trendy Set 24,YK,Kids,T-shirt & Shorts,2-piece set,844.0
P000125,Casual Hoodie 25,YK,Boys,T-shirt & Jeans,1 set,891.0
P000126,Chic Trackpant Set,Mini Klub,Boys,Shirt & Shorts Set,1 set,777.0
P000127,T-shirt - Striped Edition,Cherokee,Kids,Two-piece Set,1 set,1127.0
P000128,Hoodie - Formal Edition,YK,Boys,Kurta & Pajama Set,1 set,1144.0
P000129,YK Stylish Onesie,YK,Kids,Winter Set (Jacket & Bottom),1 set,803.0
P000130,Premium Anarkali,Vero Moda,Women,T-shirt & Jeans,3-piece set,1004.0
P000131,Striped Blouse Set,W,Women,T-shirt & Jeans,1 set,967.0
P000132,Casual Shorts Set,Carter's,Kids,Onesie,2-piece set,889.0
P000133,Comfort Skirt Set,Vero Moda,Women,Dresses,Single (1 piece),848.0
P000134,Sporty T-shirt,United Colors,Men,T-shirt,Single (1 piece),935.0
P000135,Trendy Winter Set,Zara Kids,Kids,Jumpsuit,Single (1 piece),1177.0
P000136,Shorts - Denim Edition,U.S. Polo Assn Kids,Boys,Casual Set,Pack of 3,2788.0
P000137,Trendy Winter Set 37,Babyhug,Kids,Party Wear Set,Pack of 2,1209.0
P000138,Top - Vintage Edition,Vero Moda,Women,Dresses,1 set,1081.0
P000139,Classic T-shirt 39,Arrow,Men,Jeans,Single (1 piece),1418.0
P000140,Vintage Kurti,Wow Kids,Girls,Jumpsuit,Pack of 2,2377.0
P000141,Biba Chic Tunics,Biba,Women,Jumpsuit,2-piece set,1185.0
P000142,Anarkali - Striped Edition,Vero Moda,Women,Salwar & Kameez Set,1 set,901.0
P000143,Gown - Comfort Edition,W,Women,Saree & Blouse Set,Pack of 3,2997.0
P000144,Jacket - Sporty Edition,Roadster,Men,Shirt & Pant Set,1 set,1104.0
P000145,Classic Winter Set Set,Babyhug,Kids,Party Wear Set,Pack of 3,1645.0
P000146,Denim Tunics,H&M,Women,Dresses,1 set,2037.0
P000147,Striped Kurti 47,Wow Kids,Girls,Kurti & Leggings,1 set,1044.0
P000148,Sweatshirt - Checked Edition,Cherokee,Boys,Shirt & Shorts Set,Single (1 piece),1001.0
P000149,Elegant Shorts 49,YK,Kids,Onesie,1 set,821.0
P000150,Onesie - Striped Edition,Gymboree,Kids,Playwear Set,Pack of 3,2734.0
P000151,Striped Shirt 51,United Colors,Men,Shirt & Pant Set,1 set,1163.0
P000152,Global Desi Premium Gown,Global Desi,Women,Dress,1 set,896.0
P000153,Kurta - Formal Edition,H&M,Men,Shorts,Single (1 piece),2145.0
P000154,Trendy Playwear 54,Babyhug,Kids,Jumpsuit,2-piece set,597.0
P000155,Dress - Classic Edition,YK,Girls,T-shirt & Shorts,3-piece set,1194.0
P000156,Pajama - Premium Edition,Zara Kids,Kids,Casual Set,2-piece set,897.0
P000157,Shorts - Elegant Edition,Mothercare,Kids,Playwear Set,Single (1 piece),1069.0
P000158,T-shirt - Trendy Edition,Kiddie,Boys,Kurta & Pajama Set,Pack of 3,3314.0
P000159,Floral Tunics 59,FabIndia,Women,Kurti & Leggings Set,Pack of 2,1790.0
P000160,Comfort Skirt Set,Minnie,Girls,Sweatshirt & Trackpant,Single (1 piece),1091.0
P000161,Chic Kurti 61,Forever 21,Women,Top & Skirt Set,Pack of 2,3788.0
P000162,Classic Dress 62,Cutecumber,Girls,Sweatshirt & Trackpant,1 set,1053.0
P000163,Striped Anarkali 63,Global Desi,Women,Dress,1 set,1053.0
P000164,Checked Polo 64,Mothercare,Boys,Sweatshirt & Trackpant,1 set,1014.0
P000165,Cherokee Elegant Top,Cherokee,Girls,Top & Skirt Set,2-piece set,836.0
P000166,Striped Set,Gini & Jony,Kids,Onesie,1 set,1134.0
P000167,Floral Skirt Set,H&M,Women,Dresses,1 set,2321.0
P000168,Sporty Kurti Set,W,Women,Top & Skirt Set,3-piece set,875.0
P000169,Onesie - Comfort Edition,H&M Kids,Kids,Winter Set (Jacket & Bottom),Pack of 2,1633.0
P000170,Casual Romper 70,Cherokee,Kids,Playwear Set,1 set,1036.0
P000171,T-shirt - Vintage Edition,Gymboree,Kids,T-shirt & Shorts,1 set,1071.0
P000172,Top - Floral Edition,AND,Women,Two-piece Set,2-piece set,807.0
P000173,Trendy Frock 73,YK,Girls,Sweatshirt & Trackpant,1 set,1005.0
P000174,Elegant Shorts Set,Peter England,Men,Suit (Jacket & Trouser),Single (1 piece),891.0
P000175,Onesie - Comfort Edition,Mini Klub,Kids,Romper Set,1 set,846.0
P000176,Allen Solly Casual Shorts,Allen Solly,Men,Shorts,Pack of 3,2609.0
P000177,Zara Kids Striped Winter Set,Zara Kids,Kids,Jumpsuit,1 set,1076.0
P000178,Striped Trackpant,Lilliput,Boys,Jacket & Trousers,Single (1 piece),955.0
P000179,Striped Top,Forever 21,Women,Dress,2-piece set,2349.0
P000180,Striped Skirt Set,Cutecumber,Girls,Kurti & Leggings,1 set,855.0
P000181,Floral Blouse Set,Forever 21,Women,T-shirt & Jeans,1 set,1873.0
P000182,Stylish Hoodie Set,H&M,Men,T-shirt,1 set,2113.0
P000183,Casual Hoodie 83,Jack & Jones,Men,Suit (Jacket & Trouser),Pack of 2,2340.0
P000184,Blouse - Checked Edition,Zara,Women,Kurti & Leggings Set,Pack of 3,5000.0
P000185,Elegant Jumpsuit Set,YK,Girls,Party Dress Set,1 set,903.0
P000186,Formal Hoodie 86,Levi's,Men,Trackpant & Hoodie Set,2-piece set,1064.0
P000187,Gown - Vintage Edition,FabIndia,Women,Skirt & Top,1 set,1127.0
P000188,Jacket - Comfort Edition,H&M,Men,Jeans,Single (1 piece),2555.0
P000189,Premium Set,Gini & Jony,Kids,Winter Set (Jacket & Bottom),Single (1 piece),1012.0
P000190,Classic Tunics,W,Women,T-shirt & Jeans,1 set,897.0
P000191,H&M Floral Shorts,H&M,Men,T-shirt & Jeans,1 set,2093.0
P000192,Shorts - Chic Edition,Kiddie,Boys,Shorts Set,2-piece set,1159.0
P000193,Formal Skirt 93,Global Desi,Women,Kurti & Leggings Set,Pack of 3,3481.0
P000194,Sporty Kurta,Jack & Jones,Men,Suit (Jacket & Trouser),1 set,1053.0
P000195,AND Trendy Gown,AND,Women,Salwar & Kameez Set,1 set,936.0
P000196,Chic Winter Set,H&M Kids,Kids,Two-piece Set,2-piece set,940.0
P000197,Floral Jacket 97,Mothercare,Boys,T-shirt & Shorts,1 set,1090.0
P000198,Forever 21 Premium Dress,Forever 21,Women,Dress,2-piece set,2318.0
P000199,T-shirt - Comfort Edition,Cutecumber,Girls,Top & Skirt Set,Single (1 piece),1155.0
P000200,Stylish Gown Set,Forever 21,Women,Salwar & Kameez Set,1 set,2224.0
P000201,Formal Shirt,Zara,Men,Kurta & Pyjama Set,1 set,3170.0
P000202,Global Desi Premium Skirt,Global Desi,Women,Dresses,2-piece set,834.0
P000203,Cardigan - Trendy Edition,Gini & Jony,Girls,Jumpsuit,1 set,865.0
P000204,Formal T-shirt,Mothercare,Boys,T-shirt & Shorts,1 set,1159.0
P000205,Trendy Shorts,Allen Solly,Men,Kurta & Pyjama Set,Single (1 piece),1043.0
P000206,Vintage Kurta Set,Roadster,Men,Kurta & Pyjama Set,1 set,964.0
P000207,T-shirt - Floral Edition,Wow Kids,Boys,Shirt & Shorts Set,1 set,841.0
P000208,Jacket - Formal Edition,H&M,Men,Casual Shirt,2-piece set,2664.0
P000209,Gown - Classic Edition,Global Desi,Women,Kurti & Leggings Set,Pack of 3,2406.0
P000210,Shorts - Elegant Edition,Mini Klub,Kids,T-shirt & Shorts,1 set,691.0
P000211,Babyhug Trendy Pyjama,Babyhug,Boys,Shirt & Shorts Set,1 set,612.0
P000212,Elegant Anarkali Set,Forever 21,Women,Top & Skirt Set,2-piece set,2154.0
P000213,Tommy Hilfiger Checked Jeans,Tommy Hilfiger,Men,Casual Shirt,Single (1 piece),1061.0
P000214,United Colors Classic T-shirt,United Colors,Men,Suit (Jacket & Trouser),1 set,890.0
P000215,Casual Set - Striped Edition,YK,Kids,Party Wear Set,Single (1 piece),1085.0
P000216,Peppermint Chic Jumpsuit,Peppermint,Girls,Sweatshirt & Trackpant,1 set,895.0
P000217,Striped Skirt Set,Vero Moda,Women,Dresses,2-piece set,930.0
P000218,Sporty Shirt,Jack & Jones,Men,T-shirt & Jeans,1 set,1099.0
P000219,Checked Dress Set,Biba,Women,Top & Skirt Set,2-piece set,1060.0
P000220,T-shirt - Striped Edition,Cherokee,Boys,T-shirt & Jeans,2-piece set,1140.0
P000221,Zara Kids Sporty Winter Set,Zara Kids,Kids,Jumpsuit,1 set,1063.0
P000222,Checked Jumpsuit,YK,Kids,T-shirt & Shorts,Single (1 piece),1027.0
P000223,Sporty Polo Set,Gini & Jony,Boys,T-shirt & Shorts,1 set,837.0
P000224,Hoodie - Trendy Edition,Gini & Jony,Boys,Jacket & Trousers,1 set,947.0
P000225,Chic Jumpsuit,Peppermint,Girls,Frock Set,Single (1 piece),906.0
P000226,AND Floral Gown,AND,Women,Two-piece Set,1 set,898.0
P000227,FabIndia Trendy Blouse,FabIndia,Women,Dress,Pack of 2,2378.0
P000228,U.S. Polo Assn Kids Chic Pyjama,U.S. Polo Assn Kids,Boys,Kurta & Pajama Set,2-piece set,957.0
P000229,Premium Sweatshirt 29,Batil,Girls,Top & Skirt Set,2-piece set,1157.0
P000230,United Colors Stylish Trackpant,United Colors,Men,Kurta & Pyjama Set,Pack of 2,2105.0
P000231,Checked T-shirt Set,Levi's,Men,Kurta & Pyjama Set,1 set,1118.0
P000232,Batil Denim Cardigan,Batil,Girls,Frock Set,3-piece set,1001.0
P000233,Gini & Jony Floral Trackpant,Gini & Jony,Boys,Sweatshirt & Trackpant,1 set,1031.0
P000234,Skirt - Floral Edition,Cutecumber,Girls,Salwar Set,1 set,997.0
P000235,YK Trendy Polo,YK,Boys,Casual Set,2-piece set,878.0
P000236,Trendy Blouse Set,FabIndia,Women,Dresses,2-piece set,1089.0
P000237,Classic Jacket,Gini & Jony,Boys,Casual Set,Single (1 piece),912.0
P000238,Floral Sweatshirt,Wow Kids,Boys,Shorts Set,Pack of 2,1619.0
P000239,Top - Vintage Edition,Forever 21,Women,T-shirt & Jeans,1 set,2116.0
P000240,Shirt - Denim Edition,Allen Solly,Men,T-shirt,Single (1 piece),871.0
P000241,Jack & Jones Elegant Shorts,Jack & Jones,Men,Casual Shirt,1 set,1176.0
P000242,Classic Shirt 42,H&M,Men,Casual Shirt,Single (1 piece),2954.0
P000243,Sporty Playwear Set,YK,Kids,Pajama Set,Single (1 piece),1166.0
P000244,Checked Jeans Set,H&M,Men,Shirt & Pant Set,1 set,2370.0
P000245,Zara Kids Striped Pajama,Zara Kids,Kids,Onesie,1 set,806.0
P000246,Gown - Striped Edition,Zara,Women,Saree & Blouse Set,1 set,3514.0
P000247,Chic Hoodie Set,Peter England,Men,Shorts,2-piece set,971.0
P000248,Levi's Formal Shorts,Levi's,Men,Trackpant & Hoodie Set,1 set,1187.0
P000249,Stylish Shorts Set,Gini & Jony,Boys,Shirt & Shorts Set,2-piece set,1185.0
P000250,Checked Polo,Babyhug,Boys,Shorts Set,1 set,685.0
P000251,Stylish Shorts 51,Wow Kids,Boys,Kurta & Pajama Set,Single (1 piece),918.0
P000252,Stylish Jeans,H&M,Men,Shorts,Single (1 piece),2385.0
P000253,Tunics - Chic Edition,W,Women,Dress,Single (1 piece),1140.0
P000254,Sporty T-shirt 54,Gini & Jony,Boys,Shirt & Shorts Set,Single (1 piece),927.0
P000255,Hoodie - Trendy Edition,Allen Solly,Men,Shirt & Pant Set,1 set,868.0
P000256,Striped Shorts 56,H&M Kids,Kids,Party Wear Set,1 set,1023.0
P000257,Jumpsuit - Striped Edition,Zara,Women,Salwar & Kameez Set,1 set,3523.0
P000258,Playwear - Classic Edition,YK,Kids,Playwear Set,1 set,1078.0
P000259,Floral Blouse,AND,Women,T-shirt & Jeans,Single (1 piece),1028.0
P000260,Elegant Dress 60,Forever 21,Women,Skirt & Top,1 set,1678.0
P000261,Top - Premium Edition,Mothercare,Girls,Party Dress Set,2-piece set,1046.0
P000262,Premium Skirt,Zara,Women,Salwar & Kameez Set,2-piece set,3588.0
P000263,Floral Jeans,Roadster,Men,Casual Shirt,2-piece set,1027.0
P000264,Elegant Kurta 64,Arrow,Men,T-shirt,1 set,1511.0
P000265,Chic Tunics 65,FabIndia,Women,Kurti & Leggings Set,2-piece set,1151.0
P000266,Stylish Blouse 66,H&M,Women,Jumpsuit,1 set,2741.0
P000267,Classic Polo Set,Lilliput,Boys,Shirt & Shorts Set,1 set,1079.0
